alias,ingredient_code,alias_type
Paracetamol,ING-001,en
파라세타몰,ING-001,kr
APAP,ING-001,abbr
이부프로펜리신염,ING-002,salt
트라마돌염산염,ING-005,salt
아목시실린나트륨,ING-006,salt
아목시실린삼수화물,ING-006,salt
Co-amoxiclav,ING-007,en
세프트리악손나트륨,ING-008,salt
CTRX,ING-008,abbr
세파졸린나트륨,ING-009,salt
반코마이신염산염,ING-012,salt
VCM,ING-012,abbr
아지트로마이신수화물,ING-014,salt
AZM,ING-014,abbr
아토르바스타틴칼슘,ING-015,salt
로수바스타틴칼슘,ING-016,salt
암로디핀베실산염,ING-017,salt
로사르탄칼륨,ING-018,salt
Nitroglycerin,ING-021,en
희석된니트로글리세린,ING-021,kr
묽은니트로글리세린,ING-021,kr
오메프라졸나트륨,ING-022,salt
에스오메프라졸마그네슘,ING-023,salt
에스오메프라졸나트륨,ING-023,salt
온단세트론염산염수화물,ING-026,salt
메트포르민염산염,ING-027,salt
몬테루카스트나트륨,ING-032,salt
졸피뎀주석산염,ING-035,salt
생리식염수,ING-037,kr
NaCl,ING-037,abbr
헤파린나트륨,ING-039,salt
에녹사파린나트륨,ING-040,salt
dexamethasone,ING-042,en
덱사메타손인산염나트륨,ING-042,salt
메틸프레드니솔론숙시네이트나트륨,ING-043,salt
프레드니솔론아세테이트,ING-044,salt
리도카인염산염,ING-048,salt
시타글립틴인산염수화물,ING-029,salt
살부타몰황산염,ING-030,salt
리도카인염산염수화물,ING-048,salt
