item_id,item_name,standard_code,ingredient_code,strength,form,route,pack_size,supplier,is_essential,substitute_group_id,atc_code
ITM-0001,아세트아미노펜정 500mg,9900100100001,ING-001,500mg,정제,경구,500,한빛제약,1,SG-001,N02BE01
ITM-0002,대한아세트아미노펜정 500mg,9900100100002,ING-001,500mg,정제,경구,500,대한제약,1,SG-001,N02BE01
ITM-0003,유니아세트아미노펜정 500mg,9900100100003,ING-001,500mg,정제,경구,300,유니메드,1,SG-001,N02BE01
ITM-0004,아세트아미노펜서방정 650mg,9900100200004,ING-001,650mg,서방정,경구,300,한빛제약,1,SG-002,N02BE01
ITM-0005,그린아세트아미노펜시럽 160mg/5mL,9900100300005,ING-001,160mg/5mL,시럽,경구,20,그린바이오,1,SG-003,N02BE01
ITM-0006,서울아세트아미노펜시럽 160mg/5mL,9900100300006,ING-001,160mg/5mL,시럽,경구,20,서울파마,1,SG-003,N02BE01
ITM-0007,메디아세트아미노펜주 1g/100mL,9900100400007,ING-001,1g/100mL,주사,정맥주사,20,메디팜,1,SG-004,N02BE01
ITM-0008,대한이부프로펜정 200mg,9900200500008,ING-002,200mg,정제,경구,300,대한제약,0,SG-005,M01AE01
ITM-0009,미래이부프로펜정 200mg,9900200500009,ING-002,200mg,정제,경구,300,미래바이오,0,SG-005,M01AE01
ITM-0010,그린이부프로펜시럽 100mg/5mL,9900200600010,ING-002,100mg/5mL,시럽,경구,20,그린바이오,0,SG-006,M01AE01
ITM-0011,덱시부프로펜시럽,9900300700011,ING-003,100mg/5mL,시럽,경구,20,한빛제약,0,SG-007,M01AE14
ITM-0012,누리덱시부프로펜시럽 100mg/5mL,9900300700012,ING-003,100mg/5mL,시럽,경구,20,누리팜,0,SG-007,M01AE14
ITM-0013,한빛덱시부프로펜정 300mg,9900300800013,ING-003,300mg,정제,경구,100,한빛제약,0,SG-008,M01AE14
ITM-0014,유니셀레콕시브캡슐 200mg,9900400900014,ING-004,200mg,캡슐,경구,100,유니메드,0,SG-009,M01AH01
ITM-0015,서울셀레콕시브캡슐 200mg,9900400900015,ING-004,200mg,캡슐,경구,100,서울파마,0,SG-009,M01AH01
ITM-0016,메디트라마돌캡슐 50mg,9900501000016,ING-005,50mg,캡슐,경구,100,메디팜,0,SG-010,N02AX02
ITM-0017,대한트라마돌캡슐 50mg,9900501000017,ING-005,50mg,캡슐,경구,100,대한제약,0,SG-010,N02AX02
ITM-0018,메디트라마돌주 100mg/2mL,9900501100018,ING-005,100mg/2mL,주사,정맥주사,50,메디팜,0,SG-011,N02AX02
ITM-0019,아목시실린캡슐 500mg,9900601200019,ING-006,500mg,캡슐,경구,500,그린바이오,1,SG-012,J01CA04
ITM-0020,대한목시실캡슐 500mg,9900601200020,ING-006,500mg,캡슐,경구,500,대한제약,1,SG-012,J01CA04
ITM-0021,미래아목시실린캡슐 500mg,9900601200021,ING-006,500mg,캡슐,경구,300,미래바이오,1,SG-012,J01CA04
ITM-0022,그린아목시실린산 250mg,9900601300022,ING-006,250mg,산제,경구,100,그린바이오,1,SG-013,J01CA04
ITM-0023,그린목시클란정 625mg,9900701400023,ING-007,625mg,정제,경구,200,그린바이오,0,SG-014,J01CR02
ITM-0024,유니목시클란정 625mg,9900701400024,ING-007,625mg,정제,경구,200,유니메드,0,SG-014,J01CR02
ITM-0025,메디목시클란주 1.2g,9900701500025,ING-007,1.2g,바이알,정맥주사,10,메디팜,0,SG-015,J01CR02
ITM-0026,세프트리악손주 1g,9900801600026,ING-008,1g,바이알,정맥주사,10,메디팜,1,SG-016,J01DD04
ITM-0027,대한세프트리악손주 1g,9900801600027,ING-008,1g,바이알,정맥주사,10,대한제약,1,SG-016,J01DD04
ITM-0028,한결세프트리악손주 1g,9900801600028,ING-008,1g,바이알,정맥주사,10,한결바이오,1,SG-016,J01DD04
ITM-0029,메디세프트리악손주 500mg,9900801700029,ING-008,500mg,바이알,정맥주사,10,메디팜,1,SG-017,J01DD04
ITM-0030,누리세프트리악손주 500mg,9900801700030,ING-008,500mg,바이알,정맥주사,10,누리팜,1,SG-017,J01DD04
ITM-0031,메디세프트리악손주 2g,9900801800031,ING-008,2g,바이알,정맥주사,10,메디팜,1,SG-018,J01DD04
ITM-0032,대한세파졸린주 1g,9900901900032,ING-009,1g,바이알,정맥주사,10,대한제약,0,SG-019,J01DB04
ITM-0033,한결세파졸린주 1g,9900901900033,ING-009,1g,바이알,정맥주사,10,한결바이오,0,SG-019,J01DB04
ITM-0034,메디세페핌주 1g,9901002000034,ING-010,1g,바이알,정맥주사,10,메디팜,0,SG-020,J01DE01
ITM-0035,미래세페핌주 1g,9901002000035,ING-010,1g,바이알,정맥주사,10,미래바이오,0,SG-020,J01DE01
ITM-0036,메디메로페넴주 500mg,9901102100036,ING-011,500mg,바이알,정맥주사,10,메디팜,1,SG-021,J01DH02
ITM-0037,한결메로페넴주 500mg,9901102100037,ING-011,500mg,바이알,정맥주사,10,한결바이오,1,SG-021,J01DH02
ITM-0038,메디메로페넴주 1g,9901102200038,ING-011,1g,바이알,정맥주사,10,메디팜,1,SG-022,J01DH02
ITM-0039,대한반코마이신주 500mg,9901202300039,ING-012,500mg,바이알,정맥주사,10,대한제약,1,SG-023,J01XA01
ITM-0040,누리반코마이신주 500mg,9901202300040,ING-012,500mg,바이알,정맥주사,10,누리팜,1,SG-023,J01XA01
ITM-0041,유니레보플록사신정 500mg,9901302400041,ING-013,500mg,정제,경구,100,유니메드,0,SG-024,J01MA12
ITM-0042,서울레보플록사신정 500mg,9901302400042,ING-013,500mg,정제,경구,100,서울파마,0,SG-024,J01MA12
ITM-0043,메디레보플록사신주 500mg/100mL,9901302500043,ING-013,500mg/100mL,주사,정맥주사,20,메디팜,0,SG-025,J01MA12
ITM-0044,그린아지트로마이신정 250mg,9901402600044,ING-014,250mg,정제,경구,100,그린바이오,0,SG-026,J01FA10
ITM-0045,미래아지트로마이신정 250mg,9901402600045,ING-014,250mg,정제,경구,100,미래바이오,0,SG-026,J01FA10
ITM-0046,아토르바스타틴정 10mg,9901502700046,ING-015,10mg,정제,경구,300,메디팜,0,SG-027,C10AA05
ITM-0047,유니아토르바스타틴정 10mg,9901502700047,ING-015,10mg,정제,경구,300,유니메드,0,SG-027,C10AA05
ITM-0048,서울아토르바스타틴정 10mg,9901502700048,ING-015,10mg,정제,경구,300,서울파마,0,SG-027,C10AA05
ITM-0049,메디아토르바스타틴정 20mg,9901502800049,ING-015,20mg,정제,경구,300,메디팜,0,SG-028,C10AA05
ITM-0050,대한아토르바스타틴정 20mg,9901502800050,ING-015,20mg,정제,경구,300,대한제약,0,SG-028,C10AA05
ITM-0051,유니로수바스타틴정 10mg,9901602900051,ING-016,10mg,정제,경구,300,유니메드,0,SG-029,C10AA07
ITM-0052,미래로수바스타틴정 10mg,9901602900052,ING-016,10mg,정제,경구,300,미래바이오,0,SG-029,C10AA07
ITM-0053,한빛암로디핀정 5mg,9901703000053,ING-017,5mg,정제,경구,500,한빛제약,0,SG-030,C08CA01
ITM-0054,대한암로디핀정 5mg,9901703000054,ING-017,5mg,정제,경구,500,대한제약,0,SG-030,C08CA01
ITM-0055,누리암로디핀정 5mg,9901703000055,ING-017,5mg,정제,경구,300,누리팜,0,SG-030,C08CA01
ITM-0056,한빛암로디핀정 10mg,9901703100056,ING-017,10mg,정제,경구,300,한빛제약,0,SG-031,C08CA01
ITM-0057,유니로사르탄정 50mg,9901803200057,ING-018,50mg,정제,경구,300,유니메드,0,SG-032,C09CA01
ITM-0058,서울로사르탄정 50mg,9901803200058,ING-018,50mg,정제,경구,300,서울파마,0,SG-032,C09CA01
ITM-0059,대한비소프롤롤정 2.5mg,9901903300059,ING-019,2.5mg,정제,경구,300,대한제약,0,SG-033,C07AB07
ITM-0060,미래비소프롤롤정 2.5mg,9901903300060,ING-019,2.5mg,정제,경구,300,미래바이오,0,SG-033,C07AB07
ITM-0061,한빛푸로세미드정 40mg,9902003400061,ING-020,40mg,정제,경구,300,한빛제약,1,SG-034,C03CA01
ITM-0062,누리푸로세미드정 40mg,9902003400062,ING-020,40mg,정제,경구,300,누리팜,1,SG-034,C03CA01
ITM-0063,메디푸로세미드주 20mg/2mL,9902003500063,ING-020,20mg/2mL,주사,정맥주사,50,메디팜,1,SG-035,C03CA01
ITM-0064,한빛니트로글리세린정 0.6mg,9902103600064,ING-021,0.6mg,정제,경구,100,한빛제약,0,SG-036,C01DA02
ITM-0065,한결니트로글리세린패치 5mg,9902103700065,ING-021,5mg,패치,외용,30,한결바이오,0,SG-037,C01DA02
ITM-0066,유니오메프라졸캡슐 20mg,9902203800066,ING-022,20mg,캡슐,경구,100,유니메드,0,SG-038,A02BC01
ITM-0067,서울오메프라졸캡슐 20mg,9902203800067,ING-022,20mg,캡슐,경구,100,서울파마,0,SG-038,A02BC01
ITM-0068,메디에스오메프라졸주 40mg,9902303900068,ING-023,40mg,바이알,정맥주사,10,메디팜,0,SG-039,A02BC05
ITM-0069,한결에스오메프라졸주 40mg,9902303900069,ING-023,40mg,바이알,정맥주사,10,한결바이오,0,SG-039,A02BC05
ITM-0070,유니에스오메프라졸정 20mg,9902304000070,ING-023,20mg,정제,경구,100,유니메드,0,SG-040,A02BC05
ITM-0071,대한판토프라졸정 40mg,9902404100071,ING-024,40mg,정제,경구,100,대한제약,0,SG-041,A02BC02
ITM-0072,미래판토프라졸정 40mg,9902404100072,ING-024,40mg,정제,경구,100,미래바이오,0,SG-041,A02BC02
ITM-0073,한빛파모티딘정 20mg,9902504200073,ING-025,20mg,정제,경구,300,한빛제약,0,SG-042,A02BA03
ITM-0074,누리파모티딘정 20mg,9902504200074,ING-025,20mg,정제,경구,300,누리팜,0,SG-042,A02BA03
ITM-0075,메디온단세트론주 8mg/4mL,9902604300075,ING-026,8mg/4mL,주사,정맥주사,50,메디팜,0,SG-043,A04AA01
