substitute_group_id,ingredient_code,strength,form,route,group_label
SG-001,ING-001,500mg,정제,경구,아세트아미노펜 500mg 정제 경구
SG-002,ING-001,650mg,서방정,경구,아세트아미노펜 650mg 서방정 경구
SG-003,ING-001,160mg/5mL,시럽,경구,아세트아미노펜 160mg/5mL 시럽 경구
SG-004,ING-001,1g/100mL,주사,정맥주사,아세트아미노펜 1g/100mL 주사 정맥주사
SG-005,ING-002,200mg,정제,경구,이부프로펜 200mg 정제 경구
SG-006,ING-002,100mg/5mL,시럽,경구,이부프로펜 100mg/5mL 시럽 경구
SG-007,ING-003,100mg/5mL,시럽,경구,덱시부프로펜 100mg/5mL 시럽 경구
SG-008,ING-003,300mg,정제,경구,덱시부프로펜 300mg 정제 경구
SG-009,ING-004,200mg,캡슐,경구,셀레콕시브 200mg 캡슐 경구
SG-010,ING-005,50mg,캡슐,경구,트라마돌 50mg 캡슐 경구
SG-011,ING-005,100mg/2mL,주사,정맥주사,트라마돌 100mg/2mL 주사 정맥주사
SG-012,ING-006,500mg,캡슐,경구,아목시실린 500mg 캡슐 경구
SG-013,ING-006,250mg,산제,경구,아목시실린 250mg 산제 경구
SG-014,ING-007,625mg,정제,경구,아목시실린·클라불란산칼륨 625mg 정제 경구
SG-015,ING-007,1.2g,바이알,정맥주사,아목시실린·클라불란산칼륨 1.2g 바이알 정맥주사
SG-016,ING-008,1g,바이알,정맥주사,세프트리악손 1g 바이알 정맥주사
SG-017,ING-008,500mg,바이알,정맥주사,세프트리악손 500mg 바이알 정맥주사
SG-018,ING-008,2g,바이알,정맥주사,세프트리악손 2g 바이알 정맥주사
SG-019,ING-009,1g,바이알,정맥주사,세파졸린 1g 바이알 정맥주사
SG-020,ING-010,1g,바이알,정맥주사,세페핌 1g 바이알 정맥주사
SG-021,ING-011,500mg,바이알,정맥주사,메로페넴 500mg 바이알 정맥주사
SG-022,ING-011,1g,바이알,정맥주사,메로페넴 1g 바이알 정맥주사
SG-023,ING-012,500mg,바이알,정맥주사,반코마이신 500mg 바이알 정맥주사
SG-024,ING-013,500mg,정제,경구,레보플록사신 500mg 정제 경구
SG-025,ING-013,500mg/100mL,주사,정맥주사,레보플록사신 500mg/100mL 주사 정맥주사
SG-026,ING-014,250mg,정제,경구,아지트로마이신 250mg 정제 경구
SG-027,ING-015,10mg,정제,경구,아토르바스타틴 10mg 정제 경구
SG-028,ING-015,20mg,정제,경구,아토르바스타틴 20mg 정제 경구
SG-029,ING-016,10mg,정제,경구,로수바스타틴 10mg 정제 경구
SG-030,ING-017,5mg,정제,경구,암로디핀 5mg 정제 경구
SG-031,ING-017,10mg,정제,경구,암로디핀 10mg 정제 경구
SG-032,ING-018,50mg,정제,경구,로사르탄 50mg 정제 경구
SG-033,ING-019,2.5mg,정제,경구,비소프롤롤 2.5mg 정제 경구
SG-034,ING-020,40mg,정제,경구,푸로세미드 40mg 정제 경구
SG-035,ING-020,20mg/2mL,주사,정맥주사,푸로세미드 20mg/2mL 주사 정맥주사
SG-036,ING-021,0.6mg,정제,경구,니트로글리세린 0.6mg 정제 경구
SG-037,ING-021,5mg,패치,외용,니트로글리세린 5mg 패치 외용
SG-038,ING-022,20mg,캡슐,경구,오메프라졸 20mg 캡슐 경구
SG-039,ING-023,40mg,바이알,정맥주사,에스오메프라졸 40mg 바이알 정맥주사
SG-040,ING-023,20mg,정제,경구,에스오메프라졸 20mg 정제 경구
SG-041,ING-024,40mg,정제,경구,판토프라졸 40mg 정제 경구
SG-042,ING-025,20mg,정제,경구,파모티딘 20mg 정제 경구
SG-043,ING-026,8mg/4mL,주사,정맥주사,온단세트론 8mg/4mL 주사 정맥주사
SG-044,ING-027,500mg,정제,경구,메트포르민 500mg 정제 경구
SG-045,ING-027,1000mg,서방정,경구,메트포르민 1000mg 서방정 경구
SG-046,ING-028,2mg,정제,경구,글리메피리드 2mg 정제 경구
SG-047,ING-029,100mg,정제,경구,시타글립틴 100mg 정제 경구
SG-048,ING-030,2mg,정제,경구,살부타몰 2mg 정제 경구
SG-049,ING-030,2mg/5mL,시럽,경구,살부타몰 2mg/5mL 시럽 경구
SG-050,ING-031,200mg,서방정,경구,테오필린 200mg 서방정 경구
SG-051,ING-032,10mg,정제,경구,몬테루카스트 10mg 정제 경구
SG-052,ING-032,4mg,산제,경구,몬테루카스트 4mg 산제 경구
SG-053,ING-033,200mg,산제,경구,아세틸시스테인 200mg 산제 경구
SG-054,ING-034,1mg,정제,경구,로라제팜 1mg 정제 경구
SG-055,ING-034,4mg/2mL,주사,정맥주사,로라제팜 4mg/2mL 주사 정맥주사
SG-056,ING-035,10mg,정제,경구,졸피뎀 10mg 정제 경구
SG-057,ING-036,10mg,정제,경구,에스시탈로프람 10mg 정제 경구
SG-058,ING-037,0.9%/500mL,주사,정맥주사,염화나트륨 0.9%/500mL 주사 정맥주사
SG-059,ING-037,0.9%/100mL,주사,정맥주사,염화나트륨 0.9%/100mL 주사 정맥주사
SG-060,ING-038,40mEq/20mL,주사,정맥주사,염화칼륨 40mEq/20mL 주사 정맥주사
SG-061,ING-039,25000IU/5mL,바이알,정맥주사,헤파린 25000IU/5mL 바이알 정맥주사
SG-062,ING-040,40mg/0.4mL,주사,피하,에녹사파린 40mg/0.4mL 주사 피하
SG-063,ING-041,75mg,정제,경구,클로피도그렐 75mg 정제 경구
SG-064,ING-042,5mg/1mL,주사,정맥주사,덱사메타손 5mg/1mL 주사 정맥주사
SG-065,ING-042,0.5mg,정제,경구,덱사메타손 0.5mg 정제 경구
SG-066,ING-043,125mg,바이알,정맥주사,메틸프레드니솔론 125mg 바이알 정맥주사
SG-067,ING-044,5mg,정제,경구,프레드니솔론 5mg 정제 경구
SG-068,ING-045,0.1mg,정제,경구,레보티록신 0.1mg 정제 경구
SG-069,ING-046,0.2mg,캡슐,경구,탐수로신 0.2mg 캡슐 경구
SG-070,ING-047,250mg/5mL,주사,정맥주사,트라넥삼산 250mg/5mL 주사 정맥주사
SG-071,ING-047,250mg,캡슐,경구,트라넥삼산 250mg 캡슐 경구
SG-072,ING-048,2%/5mL,주사,근육주사,리도카인 2%/5mL 주사 근육주사
SG-073,ING-048,5%,패치,외용,리도카인 5% 패치 외용
